Article,Datum,Doublecheck Formula,Formula,Input data type,Input semantics,News-Orga,Position of user input in story,Response on user input,Topic,UI for user input,URL
"Wie eine Ministerin versucht, 1000 Windräder zu bauen",2. Januar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/politik/deutschland/mona-neubaur-wie-die-gruene-nrw-ministerin-versucht-1000-windraeder-zu-bauen-a-964890bf-32e5-44f8-9129-c3e07c7c6b7d
Woher der deutsche Strom kommt – und wie viel er wirklich kostet,2. Januar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/wirtschaft/strommarkt-woher-der-deutsche-strom-kommt-und-wie-viel-er-wirklich-kostet-a-76b9f9a7-bf28-4319-9416-a5ec15eb745c
Wie sicher ist Fliegen?,2. Januar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/wissenschaft/technik/flugzeugungluecke-wie-sicher-ist-fliegen-a-c67040a0-5766-4894-8c40-e9b2fc6ba9aa
Wo die Bahn besonders unpünktlich ist,8. Januar 2025,,,Geographic,"Exploratory filtering, Sociodemographic Attributes",Spiegel,Recurring,"Local highlight of user input in visualization, Persistent user  input reference across story paragraphs, Persistent user input reference across annotations, Visualization update",Verkehr/Infrastruktur,Autocomplete/Typeahead,https://www.spiegel.de/wirtschaft/deutsche-bahn-2024-wo-die-bahn-besonders-unpuenktlich-ist-die-datenanalyse-a-ae676ad1-f39f-46fc-b775-1ecaea6a71ab
"




Oh, wie klein ist Grönland",9. Januar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/wissenschaft/natur/donald-trump-und-landkarten-warum-groenland-kleiner-ist-als-manche-denken-a-09941f81-6607-4e2e-8db0-bf32fbdbaf9f
So kam das Feuer nach LA,10. Januar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/wissenschaft/natur/los-angeles-warum-die-braende-in-kalifornien-weiterhin-nicht-unter-kontrolle-sind-a-ce3e4e96-4e9f-4a94-9b29-0d278bdef542
"




So funktioniert Russlands Schattenflotte",13. Januar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/wirtschaft/russland-und-die-schattenflotte-in-der-ostsee-sorge-vor-einer-umweltkatastrophe-waechst-a-77e03993-3857-450b-a708-6c1792c6475d
"
        
        
        
    

Diese Gäste überraschten bei Trumps Amtseinführung
",22. Januar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/ausland/gianni-infantino-giorgia-meloni-tim-cook-co-diese-gaeste-ueberraschten-bei-der-amtseinfuehrung-von-donald-trump-a-db0e15d5-fda9-4359-8f9f-a8a11ef3e63f
Verbraucher wählen Orangennektar zur »Mogelpackung des Jahres«,22. Januar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/wirtschaft/service/mogelpackung-des-jahres-verbraucher-waehlen-orangennektar-von-eckes-granini-zum-gewinner-des-schmaehpreises-a-7716e447-5be6-4639-9216-c58a3779f387
"  Was wir nicht sehen sollen",25. Januar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/netzwelt/netzpolitik/geloeschte-inhalte-auf-tiktok-x-instagram-youtube-was-wir-nicht-sehen-sollen-datenanalyse-a-ca0629a1-16c4-47a3-a9fa-10b7c6b44ac2
"  So stark ist Ihr Job von Krisen betroffen",30. Januar 2025,,,category (nominal),"Exploratory filtering, Sociodemographic Attributes",Spiegel,"Final, Intro","Annotation update, Local highlight of user input in visualization, Visualization update",Arbeitsmarkt,Autocomplete/Typeahead,https://www.spiegel.de/wirtschaft/arbeitsmarkt-so-stark-ist-ihr-job-von-krisen-betroffen-a-0cfbb9ad-487e-496c-9ff0-c722fe3a5c4b
Diese Themen bewegen die Deutschen,31. Januar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/politik/migration-klimakrise-oder-steigende-preise-diese-themen-bewegen-die-deutschen-am-meisten-a-16396649-61f3-40a9-9aa9-aa94e9c6237e
" So haben die einzelnen Abgeordneten abgestimmt",30. Januar 2025,,,category (nominal),Exploratory filtering,Spiegel,Intro,Visualization update,Politik,Autocomplete/Typeahead,https://www.spiegel.de/politik/deutschland/abstimmung-ueber-migrationsgesetz-der-union-so-haben-die-einzelnen-abgeordneten-gestimmt-a-295166bf-bdfe-4fd0-b538-2492d3cfbce8
"




Keep Calm and...",1. Februar 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/ausland/fuenf-jahre-brexit-war-das-eine-gute-idee-a-ed720e61-4c7b-4d53-8e53-4ef37a4f3dc7
middle school sucks,1. März 2025,,,,,The Pudding,,,Bildung,None,https://pudding.cool/2025/02/middle-school/
animal sounds,1. März 2025,,,,,The Pudding,,,Kultur,None,https://pudding.cool/2025/03/language/
rhoslc apologies,1. März 2025,,,,,The Pudding,,,,None,https://pudding.cool/2025/03/housewives/
music dna legacies,1. April 2025,,,,,The Pudding,,,Kultur,None,https://pudding.cool/2025/04/music-dna/
wine animals,1. April 2025,"exploratory filtering stuff- hier einfach als V, A, S codiert - ausreichend=","S → I₁ → Su(I₁) → S → ⟦V₁h⟧(I₁) → V₁u(I₁), Su(I₁) → V₁u(I₁), Su(I₁) → S, (¬V₁h) → S → ⟦V₂h⟧(I₁) → S → S → S → S → S → S, V₂u(I₁) → S → S → Su(I₁) → S → S → S → S → (¬V₂h), S → S",category (nominal),Behavior,The Pudding,Intro,"Persistent user  input reference across story paragraphs, Persistent user input highlight across visualizations, Persistent user input reference across annotations",Konsum/Verbraucher,Visual Object Selection,https://pudding.cool/2025/04/wine-animals/
https://pudding.cool/2025/04/birthday-effect,1. Mai 2025,,,,,The Pudding,,,Gesellschaft,None,https://pudding.cool/2025/04/birthday-effect/
asian representation,1. Mai 2025,,,,,The Pudding,,,Gesellschaft,None,https://pudding.cool/2025/05/aapi-casting
